uuid,title,description,application_link,company,location
job_5_1768569993,Data Modeler,"Data Modeler
Morgan McKinley
Dublin, County Dublin
€108,000 - €120,000 per annum
1 day ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_6_1768569993,Data Modeler,"Data Modeler
Morgan McKinley
Dublin, County Dublin
€108,000 - €120,000 per annum
1 day ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_7_1768569993,Data Modeler,"Data Modeler
Morgan McKinley
Dublin, County Dublin
€108,000 - €120,000 per annum
1 day ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_8_1768569993,Data Modeler,"Data Modeler
Morgan McKinley
Dublin, County Dublin
€108,000 - €120,000 per annum
1 day ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_9_1768569993,Data Modeler,"Data Modeler
Morgan McKinley
Dublin, County Dublin
€108,000 - €120,000 per annum
1 day ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_10_1768569993,Senior Data Platform Business Analyst Contract Dublin,"Senior Data Platform Business Analyst Contract Dublin
Adecco UK Limited
County Dublin
€144,000 - €168,000 per annum
2 days ago",https://www.irishjobs.ie/jobs/adecco-uk-limited?cmpId=1243032&cmp=1,,
job_11_1768569993,Data Analyst,"Data Analyst
Morgan McKinley
Cork, County Cork
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_12_1768569993,Data Analyst,"Data Analyst
Morgan McKinley
Cork, County Cork
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_13_1768569993,Data Analyst - Dublin,"Data Analyst - Dublin
UniJobs
Dublin, County Dublin
€67,598 per annum
2 days ago",https://www.irishjobs.ie/jobs/unijobs?cmpId=1242922&cmp=1,,
job_14_1768569993,Data Analyst,"Data Analyst
Morgan McKinley
Cork, County Cork
€ Not Disclosed
3 weeks ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_15_1768569993,Data Analyst,"Data Analyst
UniJobs
Limerick, County Limerick
€60,013 per annum
3 weeks ago",https://www.irishjobs.ie/jobs/unijobs?cmpId=1242922&cmp=1,,
job_16_1768569993,Data Analyst - Contract,"Data Analyst - Contract
Morgan McKinley
Cork, County Cork
€ Not Disclosed
3 weeks ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_17_1768569993,Data Analyst,"Data Analyst
Fruition Resources Group Limited
Dublin, County Dublin
€50,000 - €65,000 per annum
1 week ago",https://www.irishjobs.ie/jobs/fruition-resources-group-limited?cmpId=1242563&cmp=1,,
job_18_1768569993,Business Intelligence Analyst (Aerospace),"Business Intelligence Analyst (Aerospace)
Reperio Human Capital (Ireland) Ltd
Galway
€90,000 - €95,000 per annum
1 week ago",https://www.irishjobs.ie/jobs/reperio-human-capital-ireland-ltd?cmpId=1242863&q=Reperio+Human+Capital+%28Ireland%29+Ltd&cmp=1,,
job_19_1768569993,Human Resources Data Specialist,"Human Resources Data Specialist
Brightwater
Dublin, County Dublin
€45,000 - €50,000 per annum
1 day ago",https://www.irishjobs.ie/jobs/brightwater?cmpId=1242571&cmp=1,,
job_20_1768569993,Senior Administration Assistant | Dublin City Centre based | Hybrid model | €40k,"Senior Administration Assistant | Dublin City Centre based | Hybrid model | €40k
Cpl Resources
Dublin, County Dublin
€38,000 - €40,000 per annum
1 week ago",https://www.irishjobs.ie/jobs/cpl-resources?cmpId=1242878&cmp=1,,
job_21_1768569993,Senior Data Analyst,"Senior Data Analyst
UNUM Ireland.
Carlow, County Carlow
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/unum-ireland?cmpId=1243485&q=UNUM+Ireland.&cmp=1,,
job_22_1768569993,Senior Data Analyst,"Senior Data Analyst
Keurig Dr Pepper
Kildare, County Kildare
€ Not Disclosed
3 days ago",https://www.irishjobs.ie/jobs/keurig-dr-pepper?cmpId=1290525&cmp=1,,
job_23_1768569993,Senior IT Business Data Analyst,"Senior IT Business Data Analyst
Medtronic
Galway
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/medtronic?cmpId=1242634&cmp=1,,
job_24_1768569993,Senior Data Analyst,"Senior Data Analyst
Reperio Human Capital (Ireland) Ltd
Dublin, County Dublin
€85,000 - €95,000 per annum
2 days ago",https://www.irishjobs.ie/jobs/reperio-human-capital-ireland-ltd?cmpId=1242863&q=Reperio+Human+Capital+%28Ireland%29+Ltd&cmp=1,,
job_25_1768569993,Clinical Data Team Lead,"Clinical Data Team Lead
Hays Specialist Recruitment Ireland Ltd
Dublin, County Dublin
€83,200 - €124,800 per annum
1 week ago",https://www.irishjobs.ie/jobs/hays-specialist-recruitment-ireland-ltd?cmpId=1242553&cmp=1,,
job_26_1768569993,Machine Learning Engineer,"Machine Learning Engineer
Reperio Human Capital (Ireland) Ltd
Dublin, County Dublin
€108,000 - €120,000 per annum
3 days ago",https://www.irishjobs.ie/jobs/reperio-human-capital-ireland-ltd?cmpId=1242863&q=Reperio+Human+Capital+%28Ireland%29+Ltd&cmp=1,,
job_27_1768569994,Title not found,"Related Jobs
Data Analyst
Data Scientist Specialist
Statistician
Junior Data Analyst
Data Analytics
Data Scientist Graduate
Data Scientist Engineer
Statistician Data Analyst
Database Analyst
Data Engineer
show more",https://www.irishjobs.ie/jobs/data-analyst,,
job_28_1768569994,Title not found,"Locations
Dublin
Cork
Waterford
Galway
Limerick
Carlow
Kildare
Kilkenny
Moneygall
County Dublin
County Cork
show more",https://www.irishjobs.ie/jobs/data-scientist/in-dublin?q=data+scientist+,,
job_29_1768569994,Title not found,"Frequently Asked Questions
How many Data Scientist jobs are available on IrishJobs?
There are 60 Data Scientist jobs available on IrishJobs right now.
What other similar jobs are there to Data Scientist jobs?
As well as Data Scientist jobs, you can find Data Analyst, Data Scientist Specialist, Statistician, amongst many others.
How many temporary and part-time Data Scientist jobs are available?
There are 2 temporary Data Scientist jobs and 0 part-time Data Scientist jobs available at the moment.",https://www.irishjobs.ie/jobs/data-analyst,,
job_1_1768569997,Filters,"Date posted
Type of Company
Job types
Salaries
Locations
Filters
Sort by
Relevance
Salaries
Date posted
Type of Company
Job types
60 Data Scientist jobs
No match yet? There are 39 more jobs that could match your search
Machine Learning Engineer
Reperio Human Capital (Ireland) Ltd
Kilkenny
€114,000 - €120,000 per annum
1 week ago
Machine Learning Engineer
eir evo talent
Donegal
€ Not Disclosed
1 week ago
Machine Learning Engineer
Stelfox
Dublin, County Dublin
€ Not Disclosed
1 week ago
Business A",https://www.irishjobs.ie/jobs/data-scientist?salary=10000&salarytypeid=1&action=facet_selected%3bsalary%3b10000%3bsalarytypeid%3b1&q=data+scientist+,,
job_2_1768569997,Machine Learning Engineer,"Machine Learning Engineer
Reperio Human Capital (Ireland) Ltd
Kilkenny
€114,000 - €120,000 per annum
1 week ago",https://www.irishjobs.ie/jobs/reperio-human-capital-ireland-ltd?cmpId=1242863&q=Reperio+Human+Capital+%28Ireland%29+Ltd&cmp=1,,
job_3_1768569997,Machine Learning Engineer,"Machine Learning Engineer
eir evo talent
Donegal
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/eir-evo-talent?cmpId=1242855&cmp=1,,
job_4_1768569997,Machine Learning Engineer,"Machine Learning Engineer
Stelfox
Dublin, County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/stelfox?cmpId=1242610&cmp=1,,
job_5_1768569997,Business Applications and Data Support Analyst Â· Cairn,"Business Applications and Data Support Analyst Â· Cairn
Cairn PLC
County Dublin
€ Not Disclosed
2 weeks ago",https://www.irishjobs.ie/jobs/cairn-plc?cmpId=1393058&cmp=1,,
job_6_1768569997,Internship Statistician,"Internship Statistician
Abbott Laboratories Ireland Limited
Donegal
€ Not Disclosed
3 days ago",https://www.irishjobs.ie/jobs/abbott-laboratories-ireland-limited?cmpId=1383794&cmp=1,,
job_7_1768569997,Competitive Intelligence Analyst,"Competitive Intelligence Analyst
MongoDB 10gen
County Dublin
€ Not Disclosed
2 weeks ago",https://www.irishjobs.ie/jobs/mongodb-10gen?cmpId=1444526&cmp=1,,
job_8_1768569997,Senior Machine Learning Engineer - OpenStack and LightSpeed (Ireland and Czechia),"Senior Machine Learning Engineer - OpenStack and LightSpeed (Ireland and Czechia)
RedHat Limited Red Hat Mobile
County Dublin
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/redhat-limited-red-hat-mobile?cmpId=1444632&cmp=1,,
job_9_1768569997,Senior Machine Learning Engineer,"Senior Machine Learning Engineer
RedHat Limited Red Hat Mobile
Waterford, County Waterford
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/redhat-limited-red-hat-mobile?cmpId=1444632&cmp=1,,
job_10_1768569997,Senior Machine Learning Engineer - OpenStack and LightSpeed (Ireland and Czechia),"Senior Machine Learning Engineer - OpenStack and LightSpeed (Ireland and Czechia)
RedHat Limited Red Hat Mobile
Waterford, County Waterford
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/redhat-limited-red-hat-mobile?cmpId=1444632&cmp=1,,
job_11_1768569997,Senior Machine Learning Engineer - OpenStack and LightSpeed (Ireland and Czechia),"Senior Machine Learning Engineer - OpenStack and LightSpeed (Ireland and Czechia)
RedHat Limited Red Hat Mobile
Cork, County Cork
€ Not Disclosed
6 days ago",https://www.irishjobs.ie/jobs/redhat-limited-red-hat-mobile?cmpId=1444632&cmp=1,,
job_12_1768569997,Title not found,"Related Jobs
Data Analyst
Data Scientist Specialist
Statistician
Junior Data Analyst
Data Analytics
Data Scientist Graduate
Data Scientist Engineer
Statistician Data Analyst
Database Analyst
Data Engineer
show more",https://www.irishjobs.ie/jobs/data-analyst,,
job_13_1768569997,Title not found,"Locations
Dublin
Cork
Waterford
Galway
Limerick
Carlow
Kildare
Kilkenny
Moneygall
County Dublin
County Cork
show more",https://www.irishjobs.ie/jobs/data-scientist/in-dublin?q=data+scientist+,,
job_14_1768569997,Title not found,"Frequently Asked Questions
How many Data Scientist jobs are available on IrishJobs?
There are 60 Data Scientist jobs available on IrishJobs right now.
What other similar jobs are there to Data Scientist jobs?
As well as Data Scientist jobs, you can find Data Analyst, Data Scientist Specialist, Statistician, amongst many others.
How many temporary and part-time Data Scientist jobs are available?
There are 2 temporary Data Scientist jobs and 0 part-time Data Scientist jobs available at the moment.",https://www.irishjobs.ie/jobs/data-analyst,,
